51	0.5
0	1.15
0.5	1.15
1	1.16
1.5	1.17
2	1.18
2.5	1.19
3	1.2
3.5	1.21
4	1.22
4.5	1.24
5	1.26
5.5	1.28
6	1.32
6.5	1.35
7	1.49
7.5	1.64
8	1.8
8.5	1.87
9	1.96
9.5	2.06
10	2.18
10.5	2.28
11	2.38
11.5	2.58
12	2.89
12.5	3.42
13	4
13.5	5.08
14	6.04
14.5	7.5
15	10.06
15.5	13.75
16	19.04
16.5	25.85
17	35.38
17.5	45.88
18	54.11
18.5	60.79
19	65.52
19.5	69.42
20	72.31
20.5	74.07
21	75.53
21.5	76.63
22	77.14
22.5	77.83
23	78.22
23.5	78.92
24	79.35
24.5	79.66
25	80
